control_key,status,observed,source,line,tag,id,text,onclick,panel
#botShape,NOT_INTERACTED,True,static/panels.js,6858,SELECT,botShape,,,
#botTitle,NOT_INTERACTED,True,static/panels.js,6856,INPUT,botTitle,,,
#btnAccessRequestsRefresh,NOT_INTERACTED,True,static/index.html,1699,BUTTON,btnAccessRequestsRefresh,,loadMyAccessRequests(true),
#btnActivateProfileDetail,NOT_INTERACTED,True,static/index.html,958,BUTTON,btnActivateProfileDetail,,activateCurrentProfile(),
#btnActivateWorkspaceDetail,NOT_INTERACTED,False,static/index.html,940,BUTTON,btnActivateWorkspaceDetail,,activateCurrentWorkspace(),
#btnApplyAuxModels,INTERACTED_IN_PASSING_TEST,False,static/index.html,1320,BUTTON,btnApplyAuxModels,,,
#btnAttach,INTERACTED_IN_PASSING_TEST,True,static/index.html,641,BUTTON,btnAttach,,,
#btnCancelMemoryDetail,INTERACTED_IN_PASSING_TEST,False,static/index.html,853,BUTTON,btnCancelMemoryDetail,,cancelMemoryEdit(),
#btnCancelProfileDetail,NOT_INTERACTED,True,static/index.html,960,BUTTON,btnCancelProfileDetail,,cancelProfileForm(),
#btnCancelSkillDetail,INTERACTED_IN_PASSING_TEST,False,static/index.html,837,BUTTON,btnCancelSkillDetail,,cancelSkillForm(),
#btnCancelTaskDetail,INTERACTED_IN_PASSING_TEST,False,static/index.html,874,BUTTON,btnCancelTaskDetail,,cancelCronForm(),
#btnCancelWorkspaceDetail,NOT_INTERACTED,False,static/index.html,943,BUTTON,btnCancelWorkspaceDetail,,cancelWorkspaceForm(),
#btnCapacitySave,INTERACTED_IN_PASSING_TEST,True,static/index.html,1731,BUTTON,btnCapacitySave,,saveCapacityConfig(),
#btnCheckUpdatesNow,NOT_INTERACTED,True,static/index.html,1713,BUTTON,btnCheckUpdatesNow,,checkUpdatesNow(),
#btnClearConvModal,INTERACTED_IN_PASSING_TEST,True,static/index.html,1099,BUTTON,btnClearConvModal,,clearConversation(),
#btnClearPreview,INTERACTED_IN_PASSING_TEST,True,static/index.html,1869,BUTTON,btnClearPreview,,,
#btnCopyPreviewRelPath,INTERACTED_IN_PASSING_TEST,True,static/index.html,1887,BUTTON,btnCopyPreviewRelPath,,copyPreviewRelativePath(),
#btnDeleteProfileDetail,INTERACTED_IN_PASSING_TEST,True,static/index.html,959,BUTTON,btnDeleteProfileDetail,,deleteCurrentProfile(),
#btnDeleteSkillDetail,INTERACTED_IN_PASSING_TEST,False,static/index.html,836,BUTTON,btnDeleteSkillDetail,,deleteCurrentSkill(),
#btnDeleteTaskDetail,INTERACTED_IN_PASSING_TEST,True,static/index.html,873,BUTTON,btnDeleteTaskDetail,,deleteCurrentCron(),
#btnDeleteWorkspaceDetail,NOT_INTERACTED,False,static/index.html,942,BUTTON,btnDeleteWorkspaceDetail,,deleteCurrentWorkspace(),
#btnDisableAuth,NOT_INTERACTED,False,static/index.html,1764,BUTTON,btnDisableAuth,,disableAuth(),
#btnDownload,INTERACTED_IN_PASSING_TEST,True,static/index.html,1093,BUTTON,btnDownload,,,
#btnDownloadFile,INTERACTED_IN_PASSING_TEST,True,static/index.html,1890,BUTTON,btnDownloadFile,,downloadFile(_previewCurrentPath),
#btnDuplicateTaskDetail,INTERACTED_IN_PASSING_TEST,True,static/index.html,872,BUTTON,btnDuplicateTaskDetail,,duplicateCurrentCron(),
#btnEditFile,INTERACTED_IN_PASSING_TEST,True,static/index.html,1891,BUTTON,btnEditFile,,toggleEditMode(),
#btnEditMemoryDetail,INTERACTED_IN_PASSING_TEST,False,static/index.html,852,BUTTON,btnEditMemoryDetail,,editCurrentMemory(),
#btnEditSkillDetail,INTERACTED_IN_PASSING_TEST,False,static/index.html,835,BUTTON,btnEditSkillDetail,,editCurrentSkill(),
#btnEditTaskDetail,INTERACTED_IN_PASSING_TEST,True,static/index.html,871,BUTTON,btnEditTaskDetail,,editCurrentCron(),
#btnEditWorkspaceDetail,INTERACTED_IN_PASSING_TEST,False,static/index.html,941,BUTTON,btnEditWorkspaceDetail,,editCurrentWorkspace(),
#btnExportHTML,INTERACTED_IN_PASSING_TEST,True,static/index.html,1097,BUTTON,btnExportHTML,,,
#btnExportJSON,INTERACTED_IN_PASSING_TEST,True,static/index.html,1094,BUTTON,btnExportJSON,,,
#btnGoPasswordless,NOT_INTERACTED,False,static/index.html,1775,BUTTON,btnGoPasswordless,,goPasswordless(),
#btnHamburger,INTERACTED_IN_PASSING_TEST,True,static/index.html,122,BUTTON,btnHamburger,,toggleMobileSidebar(),
#btnImportJSON,INTERACTED_IN_PASSING_TEST,True,static/index.html,1098,BUTTON,btnImportJSON,,,
#btnKanbanCreateBoard,INTERACTED_IN_PASSING_TEST,True,static/index.html,902,BUTTON,btnKanbanCreateBoard,,openKanbanCreateBoard(),
#btnKanbanPreviewDispatcher,INTERACTED_IN_PASSING_TEST,True,static/index.html,904,BUTTON,btnKanbanPreviewDispatcher,,nudgeKanbanDispatcher(),
#btnKanbanRunDispatcher,NOT_INTERACTED,True,static/index.html,905,BUTTON,btnKanbanRunDispatcher,,runKanbanDispatcher(),
#btnKanbanViewToggle,INTERACTED_IN_PASSING_TEST,True,static/index.html,903,BUTTON,btnKanbanViewToggle,,toggleKanbanViewMode(),
#btnMic,NOT_INTERACTED,True,static/index.html,648,BUTTON,btnMic,,,
